host_gen,pathogen_gen,assay_run,ramping_rate,CTmax
M,CTRL,23/3/17,0.02,36.99633333
M,CTRL,23/3/17,0.02,37.19066667
M,C1,27/3/17,0.02,37.09433333
M,C1,27/3/17,0.02,36.822
M,C1,27/3/17,0.02,37.08666667
M,C1,27/3/17,0.02,37.069
M,C1,27/3/17,0.02,37.22166667
M,C1,27/3/17,0.02,37.19333333
M,C1,27/3/17,0.02,36.88733333
M,C1,29/3/17,0.02,37.11666667
M,C1,29/3/17,0.02,37.17633333
M,C1,29/3/17,0.02,36.88
M,C1,29/3/17,0.02,36.88166667
M,C1,29/3/17,0.02,36.77533333
M,C1,29/3/17,0.02,37.55333333
M,C1,31/3/17,0.02,36.683
M,C1,31/3/17,0.02,36.65266667
M,C1,31/3/17,0.02,36.78433333
M,C1,31/3/17,0.02,36.811
M,C1,31/3/17,0.02,36.49733333
M,C1,31/3/17,0.02,36.72866667
M,C14,27/3/17,0.02,37.041
M,C14,27/3/17,0.02,37.333
M,C14,27/3/17,0.02,37.18033333
M,C14,27/3/17,0.02,36.83366667
M,C14,27/3/17,0.02,37.22666667
M,C14,27/3/17,0.02,36.88766667
M,C14,29/3/17,0.02,36.83833333
M,C14,29/3/17,0.02,36.87033333
M,C14,29/3/17,0.02,37.12566667
M,C14,29/3/17,0.02,36.898
M,C14,29/3/17,0.02,37.18866667
M,C14,29/3/17,0.02,36.86466667
M,C14,31/3/17,0.02,36.57733333
M,C14,31/3/17,0.02,36.66366667
M,C14,31/3/17,0.02,36.71933333
M,C14,31/3/17,0.02,36.61366667
M,C14,31/3/17,0.02,36.68833333
